flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours
AZ3133,Alitalia,Leonardo da Vinci International,Rome,Italy,6:05 PM,Charles de Gaulle,Paris,France,16.23
QR1587,Qatar Airways,Hamad International,Doha,Qatar,2:24 AM,Bole International,Addis Ababa,Ethiopia,7.95
LH3401,Lufthansa,Frankfurt Airport,Frankfurt,Germany,3:36 AM,Charles de Gaulle,Paris,France,23.57
AC5741,Air Canada,Toronto Pearson,Toronto,Canada,12:45 AM,John F. Kennedy International,New York,USA,9.24
LH9617,Lufthansa,Frankfurt Airport,Frankfurt,Germany,4:50 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,22.67
DL6351,Delta Air Lines,John F. Kennedy International,New York,USA,12:34 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,5.31
AF4644,Air France,Charles de Gaulle,Paris,France,12:58 AM,Stockholm Arlanda,Stockholm,Sweden,17.22
CX1675,Cathay Pacific,Hong Kong International,Hong Kong,China,10:09 AM,Incheon International,Seoul,South Korea,20.96
AM5743,Aeroméxico,Benito Juárez International,Mexico City,Mexico,5:05 PM,Jomo Kenyatta International,Nairobi,Kenya,22.2
AM6507,Aeroméxico,Benito Juárez International,Mexico City,Mexico,10:03 PM,O'Hare International,Chicago,USA,23.62
AV6858,Avianca,El Dorado International,Bogotá,Colombia,12:40 PM,Dallas/Fort Worth International,Dallas,USA,23.05
BA6160,British Airways,Heathrow,London,UK,10:39 AM,Charles de Gaulle,Paris,France,9.65
SQ7311,Singapore Airlines,Changi,Singapore,Singapore,4:35 PM,Beijing Capital International,Beijing,China,23.09
UA5293,United Airlines,Los Angeles International,Los Angeles,USA,11:26 AM,San Francisco International,San Francisco,USA,1.81
BA5838,British Airways,Heathrow,London,UK,4:15 AM,Charles de Gaulle,Paris,France,2.06
EK7131,Emirates,Dubai International,Dubai,UAE,2:32 AM,Hamad International,Doha,Qatar,3.6
NZ2102,Air New Zealand,Auckland Airport,Auckland,New Zealand,9:42 AM,Sydney Airport,Sydney,Australia,22.57
AV8306,Avianca,El Dorado International,Bogotá,Colombia,1:46 AM,O'Hare International,Chicago,USA,14.85
KL5672,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:57 PM,Charles de Gaulle,Paris,France,18.14
AI2803,Air India,Indira Gandhi International,Delhi,India,6:05 AM,Dubai International,Dubai,UAE,3.5
NZ3102,Air New Zealand,Auckland Airport,Auckland,New Zealand,7:31 AM,Sydney Airport,Sydney,Australia,22.05
KE9560,Korean Air,Incheon International,Seoul,South Korea,7:51 PM,Haneda,Tokyo,Japan,4.47
TG8325,Thai Airways,Suvarnabhumi,Bangkok,Thailand,11:00 AM,Changi,Singapore,Singapore,17.16
EK6800,Emirates,Dubai International,Dubai,UAE,8:57 AM,Hamad International,Doha,Qatar,10.87
AV4698,Avianca,El Dorado International,Bogotá,Colombia,2:42 AM,O'Hare International,Chicago,USA,11.89
SA7016,South African Airways,O.R. Tambo International,Johannesburg,South Africa,3:02 PM,Arturo Merino Benítez International,Santiago,Chile,8.68
AZ8666,Alitalia,Leonardo da Vinci International,Rome,Italy,9:34 PM,Charles de Gaulle,Paris,France,12.16
NH9438,All Nippon Airways,Haneda,Tokyo,Japan,9:15 PM,Hong Kong International,Hong Kong,China,21.32
NZ8553,Air New Zealand,Auckland Airport,Auckland,New Zealand,6:29 AM,Sydney Airport,Sydney,Australia,9.05
AV2250,Avianca,El Dorado International,Bogotá,Colombia,2:14 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,12.33
LH6753,Lufthansa,Frankfurt Airport,Frankfurt,Germany,5:42 AM,Charles de Gaulle,Paris,France,10.1
UA8020,United Airlines,Los Angeles International,Los Angeles,USA,4:18 PM,San Francisco International,San Francisco,USA,10.3
SQ8449,Singapore Airlines,Changi,Singapore,Singapore,3:01 AM,Cairo International,Cairo,Egypt,22.33
CX6637,Cathay Pacific,Hong Kong International,Hong Kong,China,5:48 PM,Charles de Gaulle,Paris,France,19.21
AZ2524,Alitalia,Leonardo da Vinci International,Rome,Italy,12:06 AM,Charles de Gaulle,Paris,France,18.55
LH7008,Lufthansa,Frankfurt Airport,Frankfurt,Germany,7:00 PM,Charles de Gaulle,Paris,France,3.3
QR5179,Qatar Airways,Hamad International,Doha,Qatar,2:19 PM,Bole International,Addis Ababa,Ethiopia,19.57
AF2793,Air France,Charles de Gaulle,Paris,France,5:51 AM,Frankfurt Airport,Frankfurt,Germany,6.84
AI1168,Air India,Indira Gandhi International,Delhi,India,1:26 PM,Dubai International,Dubai,UAE,2.77
NH8258,All Nippon Airways,Haneda,Tokyo,Japan,7:38 PM,Incheon International,Seoul,South Korea,21.64
DL2593,Delta Air Lines,John F. Kennedy International,New York,USA,1:56 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,21.82
SK4520,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,7:57 AM,Charles de Gaulle,Paris,France,17.77
ET6970,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,8:55 AM,Hamad International,Doha,Qatar,13.12
AV6310,Avianca,El Dorado International,Bogotá,Colombia,3:13 AM,O'Hare International,Chicago,USA,5.02
NZ8001,Air New Zealand,Auckland Airport,Auckland,New Zealand,8:08 PM,Sydney Airport,Sydney,Australia,8.86
KE3360,Korean Air,Incheon International,Seoul,South Korea,10:02 AM,Haneda,Tokyo,Japan,1.04
SK3209,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,9:03 PM,Charles de Gaulle,Paris,France,1.57
SA7221,South African Airways,O.R. Tambo International,Johannesburg,South Africa,4:23 AM,Jomo Kenyatta International,Nairobi,Kenya,2.96
DL1787,Delta Air Lines,John F. Kennedy International,New York,USA,12:41 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,8.43
EK5091,Emirates,Dubai International,Dubai,UAE,11:11 AM,Hamad International,Doha,Qatar,22.31
ET7315,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,4:54 PM,Hamad International,Doha,Qatar,20.04
DL7317,Delta Air Lines,John F. Kennedy International,New York,USA,7:08 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,21.35
WN2403,Southwest Airlines,Los Angeles International,Los Angeles,USA,10:39 AM,San Francisco International,San Francisco,USA,15.3
LH2563,Lufthansa,Frankfurt Airport,Frankfurt,Germany,9:04 AM,Charles de Gaulle,Paris,France,5.47
BA1599,British Airways,Heathrow,London,UK,6:49 AM,Charles de Gaulle,Paris,France,17.4
AC2804,Air Canada,Toronto Pearson,Toronto,Canada,1:42 AM,Dallas/Fort Worth International,Dallas,USA,16.66
LA9660,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,5:28 AM,Ministro Pistarini International,Buenos Aires,Argentina,12.6
AI8431,Air India,Indira Gandhi International,Delhi,India,8:56 PM,Arturo Merino Benítez International,Santiago,Chile,21.52
DL8764,Delta Air Lines,John F. Kennedy International,New York,USA,2:08 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,7.75
AF5186,Air France,Charles de Gaulle,Paris,France,9:49 AM,Frankfurt Airport,Frankfurt,Germany,16.54
SQ8993,Singapore Airlines,Changi,Singapore,Singapore,5:01 PM,Beijing Capital International,Beijing,China,6.23
EK5772,Emirates,Dubai International,Dubai,UAE,3:34 PM,Hamad International,Doha,Qatar,4.06
UA3397,United Airlines,Los Angeles International,Los Angeles,USA,2:18 AM,San Francisco International,San Francisco,USA,20.57
SK7036,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:32 AM,Zurich Airport,Zurich,Switzerland,14.39
SA1965,South African Airways,O.R. Tambo International,Johannesburg,South Africa,5:36 PM,Zurich Airport,Zurich,Switzerland,12.9
NZ2706,Air New Zealand,Auckland Airport,Auckland,New Zealand,5:58 AM,Sydney Airport,Sydney,Australia,10.77
NZ9369,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:59 AM,Sydney Airport,Sydney,Australia,1.93
AF5551,Air France,Charles de Gaulle,Paris,France,6:41 PM,Ministro Pistarini International,Buenos Aires,Argentina,2.27
LA5197,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,12:44 AM,Ministro Pistarini International,Buenos Aires,Argentina,18.41
KE2453,Korean Air,Incheon International,Seoul,South Korea,12:15 PM,Haneda,Tokyo,Japan,18.57
KL2554,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,12:34 PM,Leonardo da Vinci International,Rome,Italy,7.7
EK1519,Emirates,Dubai International,Dubai,UAE,10:38 AM,Cape Town International,Cape Town,South Africa,22.54
AA2860,American Airlines,John F. Kennedy International,New York,USA,2:41 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,15.78
SQ1888,Singapore Airlines,Changi,Singapore,Singapore,10:41 PM,Beijing Capital International,Beijing,China,19.48
NZ5365,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:02 PM,Haneda,Tokyo,Japan,10.06
AZ1940,Alitalia,Leonardo da Vinci International,Rome,Italy,9:50 PM,Charles de Gaulle,Paris,France,21.93
QR5348,Qatar Airways,Hamad International,Doha,Qatar,3:38 PM,Bole International,Addis Ababa,Ethiopia,7.93
KE2765,Korean Air,Incheon International,Seoul,South Korea,10:10 PM,Hong Kong International,Hong Kong,China,19.59
AC7769,Air Canada,Toronto Pearson,Toronto,Canada,11:56 PM,Miami International,Miami,USA,23.7
NH1283,All Nippon Airways,Haneda,Tokyo,Japan,4:23 AM,Incheon International,Seoul,South Korea,15.33
AC9192,Air Canada,Toronto Pearson,Toronto,Canada,1:56 PM,John F. Kennedy International,New York,USA,15.86
KE4403,Korean Air,Incheon International,Seoul,South Korea,3:08 AM,Haneda,Tokyo,Japan,8.76
WN9919,Southwest Airlines,Los Angeles International,Los Angeles,USA,8:35 AM,San Francisco International,San Francisco,USA,9.59
AC7134,Air Canada,Toronto Pearson,Toronto,Canada,3:35 AM,John F. Kennedy International,New York,USA,5.13
AI1195,Air India,Indira Gandhi International,Delhi,India,3:36 AM,Chhatrapati Shivaji International,Mumbai,India,11.9
LA7378,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,11:43 AM,Ministro Pistarini International,Buenos Aires,Argentina,1.65
AM9222,Aeroméxico,Benito Juárez International,Mexico City,Mexico,6:24 PM,O'Hare International,Chicago,USA,13.86
KL8568,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,8:47 PM,Charles de Gaulle,Paris,France,20.46
SQ6000,Singapore Airlines,Changi,Singapore,Singapore,3:03 AM,Beijing Capital International,Beijing,China,16.7
SA2518,South African Airways,O.R. Tambo International,Johannesburg,South Africa,1:40 AM,Charles de Gaulle,Paris,France,18.48
SQ4535,Singapore Airlines,Changi,Singapore,Singapore,6:29 PM,Beijing Capital International,Beijing,China,19.8
EK7982,Emirates,Dubai International,Dubai,UAE,7:33 AM,Hamad International,Doha,Qatar,10.93
CX3692,Cathay Pacific,Hong Kong International,Hong Kong,China,9:28 AM,Changi,Singapore,Singapore,5.07
AZ1725,Alitalia,Leonardo da Vinci International,Rome,Italy,8:26 PM,Charles de Gaulle,Paris,France,9.58
AV8092,Avianca,El Dorado International,Bogotá,Colombia,11:43 AM,O'Hare International,Chicago,USA,17.61
SA5035,South African Airways,O.R. Tambo International,Johannesburg,South Africa,3:42 AM,Charles de Gaulle,Paris,France,3.0
SQ4474,Singapore Airlines,Changi,Singapore,Singapore,5:05 PM,Beijing Capital International,Beijing,China,1.85
QF2703,Qantas,Sydney Airport,Sydney,Australia,1:02 PM,Melbourne Airport,Melbourne,Australia,13.27
EK2062,Emirates,Dubai International,Dubai,UAE,2:27 AM,Hamad International,Doha,Qatar,13.43
TG4285,Thai Airways,Suvarnabhumi,Bangkok,Thailand,4:38 PM,Changi,Singapore,Singapore,12.03
BA7786,British Airways,Heathrow,London,UK,4:26 AM,Charles de Gaulle,Paris,France,21.24
NZ3899,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:49 AM,Sydney Airport,Sydney,Australia,23.05
IB4338,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,12:46 PM,Charles de Gaulle,Paris,France,4.58
QR2424,Qatar Airways,Hamad International,Doha,Qatar,4:36 AM,Bole International,Addis Ababa,Ethiopia,15.4
QF2881,Qantas,Sydney Airport,Sydney,Australia,3:17 PM,Melbourne Airport,Melbourne,Australia,23.76
AI3675,Air India,Indira Gandhi International,Delhi,India,1:19 AM,Chhatrapati Shivaji International,Mumbai,India,9.21
UA4868,United Airlines,Los Angeles International,Los Angeles,USA,5:34 PM,San Francisco International,San Francisco,USA,23.8
SQ5103,Singapore Airlines,Changi,Singapore,Singapore,6:04 PM,Beijing Capital International,Beijing,China,1.68
AC9149,Air Canada,Toronto Pearson,Toronto,Canada,1:37 PM,Arturo Merino Benítez International,Santiago,Chile,22.72
SA4845,South African Airways,O.R. Tambo International,Johannesburg,South Africa,2:20 AM,Charles de Gaulle,Paris,France,1.82
KL3207,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,8:19 PM,Vienna International,Vienna,Austria,2.25
TG3060,Thai Airways,Suvarnabhumi,Bangkok,Thailand,7:51 PM,Changi,Singapore,Singapore,16.74
EK8650,Emirates,Dubai International,Dubai,UAE,2:13 PM,Hamad International,Doha,Qatar,18.81
NZ3523,Air New Zealand,Auckland Airport,Auckland,New Zealand,12:41 PM,Sydney Airport,Sydney,Australia,4.68
IB4953,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,12:44 AM,Charles de Gaulle,Paris,France,10.86
AC3888,Air Canada,Toronto Pearson,Toronto,Canada,5:26 AM,Dubai International,Dubai,UAE,5.02
AV3778,Avianca,El Dorado International,Bogotá,Colombia,3:47 PM,Indira Gandhi International,Delhi,India,6.25
AI6757,Air India,Indira Gandhi International,Delhi,India,9:36 AM,Incheon International,Seoul,South Korea,19.29
AF5186,Air France,Charles de Gaulle,Paris,France,8:32 PM,Frankfurt Airport,Frankfurt,Germany,9.34
TG3757,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:18 PM,Sydney Airport,Sydney,Australia,9.43
NH8558,All Nippon Airways,Haneda,Tokyo,Japan,1:25 AM,Dubai International,Dubai,UAE,3.57
IB4198,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,1:26 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2.67
AF3413,Air France,Charles de Gaulle,Paris,France,4:47 AM,John F. Kennedy International,New York,USA,19.58
NZ4231,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:56 PM,Sydney Airport,Sydney,Australia,20.64
NH3534,All Nippon Airways,Haneda,Tokyo,Japan,7:59 PM,Incheon International,Seoul,South Korea,16.19
AF1424,Air France,Charles de Gaulle,Paris,France,5:54 AM,Copenhagen Airport,Copenhagen,Denmark,7.47
SK7366,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,8:51 PM,Charles de Gaulle,Paris,France,23.83
NZ3010,Air New Zealand,Auckland Airport,Auckland,New Zealand,7:00 AM,Sydney Airport,Sydney,Australia,19.34
AM9017,Aeroméxico,Benito Juárez International,Mexico City,Mexico,6:22 AM,Cape Town International,Cape Town,South Africa,15.65
QF3265,Qantas,Sydney Airport,Sydney,Australia,7:03 PM,Melbourne Airport,Melbourne,Australia,19.62
KE3382,Korean Air,Incheon International,Seoul,South Korea,4:12 PM,El Dorado International,Bogotá,Colombia,16.78
NZ4231,Air New Zealand,Auckland Airport,Auckland,New Zealand,5:13 PM,Sydney Airport,Sydney,Australia,15.93
EK8809,Emirates,Dubai International,Dubai,UAE,12:24 AM,Charles de Gaulle,Paris,France,20.41
NH8525,All Nippon Airways,Haneda,Tokyo,Japan,9:56 AM,Melbourne Airport,Melbourne,Australia,21.45
KE5298,Korean Air,Incheon International,Seoul,South Korea,6:11 PM,Changi,Singapore,Singapore,23.24
NZ8860,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:41 PM,Charles de Gaulle,Paris,France,12.82
AM7137,Aeroméxico,Benito Juárez International,Mexico City,Mexico,9:20 AM,Chhatrapati Shivaji International,Mumbai,India,9.86
EK3102,Emirates,Dubai International,Dubai,UAE,7:06 PM,Hamad International,Doha,Qatar,20.34
AM5261,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:58 AM,O'Hare International,Chicago,USA,22.34
LH2341,Lufthansa,Frankfurt Airport,Frankfurt,Germany,2:53 AM,Charles de Gaulle,Paris,France,14.84
NZ8553,Air New Zealand,Auckland Airport,Auckland,New Zealand,6:47 AM,Sydney Airport,Sydney,Australia,20.2
NZ7379,Air New Zealand,Auckland Airport,Auckland,New Zealand,1:54 AM,Sydney Airport,Sydney,Australia,21.9
DL7685,Delta Air Lines,John F. Kennedy International,New York,USA,12:54 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,13.61
AZ3752,Alitalia,Leonardo da Vinci International,Rome,Italy,8:21 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,22.93
LH5166,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:44 AM,Charles de Gaulle,Paris,France,3.46
AI2111,Air India,Indira Gandhi International,Delhi,India,11:07 AM,Chhatrapati Shivaji International,Mumbai,India,8.52
KE6091,Korean Air,Incheon International,Seoul,South Korea,9:13 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,15.49
UA3235,United Airlines,Los Angeles International,Los Angeles,USA,11:06 AM,San Francisco International,San Francisco,USA,17.22
IB3680,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,7:28 AM,Charles de Gaulle,Paris,France,11.84
NH5022,All Nippon Airways,Haneda,Tokyo,Japan,1:54 AM,Incheon International,Seoul,South Korea,17.04
AI5164,Air India,Indira Gandhi International,Delhi,India,11:03 PM,Chhatrapati Shivaji International,Mumbai,India,11.6
AC6229,Air Canada,Toronto Pearson,Toronto,Canada,9:21 AM,Bole International,Addis Ababa,Ethiopia,13.74
DL1459,Delta Air Lines,John F. Kennedy International,New York,USA,4:19 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,8.48
LH1464,Lufthansa,Frankfurt Airport,Frankfurt,Germany,10:47 PM,Charles de Gaulle,Paris,France,20.98
AV1794,Avianca,El Dorado International,Bogotá,Colombia,9:10 AM,Leonardo da Vinci International,Rome,Italy,6.34
QR5348,Qatar Airways,Hamad International,Doha,Qatar,5:17 PM,Bole International,Addis Ababa,Ethiopia,5.16
BA6344,British Airways,Heathrow,London,UK,6:47 AM,Charles de Gaulle,Paris,France,18.73
BA2903,British Airways,Heathrow,London,UK,7:08 PM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,6.39
QR8006,Qatar Airways,Hamad International,Doha,Qatar,6:12 AM,Leonardo da Vinci International,Rome,Italy,22.49
NZ9071,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:53 AM,Sydney Airport,Sydney,Australia,8.77
AA4559,American Airlines,John F. Kennedy International,New York,USA,6:23 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,11.6
QR9968,Qatar Airways,Hamad International,Doha,Qatar,9:26 AM,Bole International,Addis Ababa,Ethiopia,3.11
AC8181,Air Canada,Toronto Pearson,Toronto,Canada,6:07 AM,John F. Kennedy International,New York,USA,13.7
LH3940,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:18 AM,Charles de Gaulle,Paris,France,22.03
DL5644,Delta Air Lines,John F. Kennedy International,New York,USA,7:49 AM,Denver International,Denver,USA,5.41
AZ5938,Alitalia,Leonardo da Vinci International,Rome,Italy,7:28 PM,Charles de Gaulle,Paris,France,2.81
AM8580,Aeroméxico,Benito Juárez International,Mexico City,Mexico,7:41 PM,O'Hare International,Chicago,USA,11.0
TG5588,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:42 PM,Changi,Singapore,Singapore,14.63
NZ5021,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:35 PM,Sydney Airport,Sydney,Australia,15.98
AZ7831,Alitalia,Leonardo da Vinci International,Rome,Italy,12:12 AM,Charles de Gaulle,Paris,France,16.41
CX9614,Cathay Pacific,Hong Kong International,Hong Kong,China,2:25 PM,Changi,Singapore,Singapore,23.28
KE2815,Korean Air,Incheon International,Seoul,South Korea,4:06 PM,Haneda,Tokyo,Japan,18.06
QR8304,Qatar Airways,Hamad International,Doha,Qatar,12:57 AM,Bole International,Addis Ababa,Ethiopia,13.86
AV1076,Avianca,El Dorado International,Bogotá,Colombia,7:21 AM,O'Hare International,Chicago,USA,4.47
ET9507,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,10:57 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,23.64
LH1304,Lufthansa,Frankfurt Airport,Frankfurt,Germany,8:43 PM,Charles de Gaulle,Paris,France,7.73
AA1980,American Airlines,John F. Kennedy International,New York,USA,5:49 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,16.8
IB7269,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:58 PM,Charles de Gaulle,Paris,France,23.48
KE3181,Korean Air,Incheon International,Seoul,South Korea,4:27 PM,Haneda,Tokyo,Japan,18.99
KL2709,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,3:54 AM,Miami International,Miami,USA,14.03
SQ9889,Singapore Airlines,Changi,Singapore,Singapore,11:46 AM,Suvarnabhumi,Bangkok,Thailand,16.13
AV2480,Avianca,El Dorado International,Bogotá,Colombia,10:59 AM,O'Hare International,Chicago,USA,23.49
AV8080,Avianca,El Dorado International,Bogotá,Colombia,5:25 PM,O'Hare International,Chicago,USA,15.82
QR3795,Qatar Airways,Hamad International,Doha,Qatar,6:07 PM,Copenhagen Airport,Copenhagen,Denmark,9.49
DL8502,Delta Air Lines,John F. Kennedy International,New York,USA,9:32 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,16.06
AA7570,American Airlines,John F. Kennedy International,New York,USA,6:59 AM,Seattle-Tacoma International,Seattle,USA,23.04
KE9708,Korean Air,Incheon International,Seoul,South Korea,12:04 PM,Kuala Lumpur International,Kuala Lumpur,Malaysia,21.79
WN3779,Southwest Airlines,Los Angeles International,Los Angeles,USA,7:44 PM,Logan International,Boston,USA,4.43
LH6171,Lufthansa,Frankfurt Airport,Frankfurt,Germany,12:49 AM,Charles de Gaulle,Paris,France,16.6
DL2731,Delta Air Lines,John F. Kennedy International,New York,USA,2:16 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,18.09
QR9185,Qatar Airways,Hamad International,Doha,Qatar,4:27 AM,Bole International,Addis Ababa,Ethiopia,23.2
AC9537,Air Canada,Toronto Pearson,Toronto,Canada,5:44 PM,Beijing Capital International,Beijing,China,4.91
AF8882,Air France,Charles de Gaulle,Paris,France,5:19 AM,Frankfurt Airport,Frankfurt,Germany,1.59
DL4833,Delta Air Lines,John F. Kennedy International,New York,USA,8:21 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,6.81
LH7299,Lufthansa,Frankfurt Airport,Frankfurt,Germany,8:35 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,13.51
KE8507,Korean Air,Incheon International,Seoul,South Korea,7:16 AM,Haneda,Tokyo,Japan,18.61
AF3201,Air France,Charles de Gaulle,Paris,France,6:35 AM,Frankfurt Airport,Frankfurt,Germany,19.94
NZ7253,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:53 AM,Sydney Airport,Sydney,Australia,10.05
AZ8138,Alitalia,Leonardo da Vinci International,Rome,Italy,6:41 PM,Charles de Gaulle,Paris,France,2.23
BA2345,British Airways,Heathrow,London,UK,11:02 AM,Charles de Gaulle,Paris,France,9.99
LA8013,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,4:10 PM,Changi,Singapore,Singapore,1.07
SK1048,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,3:35 PM,Ministro Pistarini International,Buenos Aires,Argentina,14.27
NZ1218,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:21 AM,Melbourne Airport,Melbourne,Australia,5.55
LH3518,Lufthansa,Frankfurt Airport,Frankfurt,Germany,8:21 PM,Charles de Gaulle,Paris,France,4.66
NZ5909,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:58 AM,Vancouver International,Vancouver,Canada,13.66
BA4494,British Airways,Heathrow,London,UK,4:41 PM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,16.66
AF1326,Air France,Charles de Gaulle,Paris,France,7:14 AM,Arturo Merino Benítez International,Santiago,Chile,1.01
AV9464,Avianca,El Dorado International,Bogotá,Colombia,8:46 AM,O'Hare International,Chicago,USA,14.62
KL4057,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,3:22 PM,Charles de Gaulle,Paris,France,10.39
AC6937,Air Canada,Toronto Pearson,Toronto,Canada,9:24 PM,Auckland Airport,Auckland,New Zealand,13.26
LH2394,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:02 AM,Sydney Airport,Sydney,Australia,17.22
SK4886,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,10:53 AM,Charles de Gaulle,Paris,France,10.66
AZ3806,Alitalia,Leonardo da Vinci International,Rome,Italy,3:03 AM,Charles de Gaulle,Paris,France,1.79
ET5520,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,7:02 PM,Hamad International,Doha,Qatar,1.25
AF4902,Air France,Charles de Gaulle,Paris,France,8:26 PM,Frankfurt Airport,Frankfurt,Germany,16.42
NZ9915,Air New Zealand,Auckland Airport,Auckland,New Zealand,11:21 AM,Sydney Airport,Sydney,Australia,19.0
AZ8697,Alitalia,Leonardo da Vinci International,Rome,Italy,6:43 PM,Haneda,Tokyo,Japan,11.77
SA1026,South African Airways,O.R. Tambo International,Johannesburg,South Africa,11:51 AM,Charles de Gaulle,Paris,France,11.62
CX9277,Cathay Pacific,Hong Kong International,Hong Kong,China,10:46 AM,Charles de Gaulle,Paris,France,10.0
SQ7065,Singapore Airlines,Changi,Singapore,Singapore,6:44 PM,Haneda,Tokyo,Japan,15.32
SQ7113,Singapore Airlines,Changi,Singapore,Singapore,2:12 AM,O'Hare International,Chicago,USA,7.77
AZ6461,Alitalia,Leonardo da Vinci International,Rome,Italy,2:14 PM,Charles de Gaulle,Paris,France,5.8
QF7760,Qantas,Sydney Airport,Sydney,Australia,7:16 AM,Melbourne Airport,Melbourne,Australia,8.83
AM8244,Aeroméxico,Benito Juárez International,Mexico City,Mexico,12:41 AM,O'Hare International,Chicago,USA,1.45
QR7454,Qatar Airways,Hamad International,Doha,Qatar,9:33 PM,Bole International,Addis Ababa,Ethiopia,8.24
KE6939,Korean Air,Incheon International,Seoul,South Korea,6:37 AM,Haneda,Tokyo,Japan,5.1
SK5933,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,4:40 AM,Munich Airport,Munich,Germany,18.04
UA5518,United Airlines,Los Angeles International,Los Angeles,USA,6:49 AM,San Francisco International,San Francisco,USA,3.08
AI5567,Air India,Indira Gandhi International,Delhi,India,3:21 PM,Denver International,Denver,USA,19.57
TG8950,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:56 PM,Changi,Singapore,Singapore,22.07
NZ8951,Air New Zealand,Auckland Airport,Auckland,New Zealand,1:46 AM,Sydney Airport,Sydney,Australia,11.9
AI1800,Air India,Indira Gandhi International,Delhi,India,3:56 PM,Chhatrapati Shivaji International,Mumbai,India,15.56
AA5549,American Airlines,John F. Kennedy International,New York,USA,7:32 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,5.33
LA3827,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,6:48 AM,Ministro Pistarini International,Buenos Aires,Argentina,11.01
